"id";"wind_direction";"spot";"wind_speed";"fact_shape";"date";"description";"wide_probability";"barrel_probability";"closing_probability";"lineup_probability";"period";"swell_direction";"swell_size"
1;"Oeste";"Canal da Barra";"Bafagem";"Alinhado";"2020-03-06 09:00:00";"P(Fechando|<Canal da Barra, Oeste, Aragem, 8, Leste, Meio a um metro>) = 0,00007/0,00015 = 0,45519P(Cavado|<Canal da Barra, Oeste, Aragem, 8, Leste, Meio a um metro>) = 0,00000/0,00015 = 0,03098P(Alinhado|<Canal da Barra, Oeste, Aragem, 8, Leste, Meio a um metro>) = 0,00001/0,00015 = 0,04394P(Onda gorda|<Canal da Barra, Oeste, Aragem, 8, Leste, Meio a um metro>) = 0,00007/0,00015 = 0,46989";0.4698925469067472;0.03098028663811751;0.455189381208825;0.04393778524631024;"8.3";"Leste";"Meio a um metro"
2;"Sudoeste";"Canal da Barra";"Aragem";"Fechando";"2020-03-06 10:00:00";"P(Fechando|<Canal da Barra, Oeste, Bafagem, 8, Leste, Meio a um metro>) = 0,00000/0,00002 = 0,00000P(Cavado|<Canal da Barra, Oeste, Bafagem, 8, Leste, Meio a um metro>) = 0,00000/0,00002 = 0,00000P(Alinhado|<Canal da Barra, Oeste, Bafagem, 8, Leste, Meio a um metro>) = 0,00001/0,00002 = 0,28835P(Onda gorda|<Canal da Barra, Oeste, Bafagem, 8, Leste, Meio a um metro>) = 0,00002/0,00002 = 0,71165";0.7116461251269616;0.0;0.0;0.2883538748730383;"8.3";"Leste";"Meio a um metro"
3;"Leste";"Canal da Barra";"Vento Moderado";"Fechando";"2020-03-06 16:00:00";"P(Fechando|<Canal da Barra, Sudoeste, Aragem, 8, Leste, Meio a um metro>) = 0,00010/0,00022 = 0,46363P(Cavado|<Canal da Barra, Sudoeste, Aragem, 8, Leste, Meio a um metro>) = 0,00003/0,00022 = 0,13626P(Alinhado|<Canal da Barra, Sudoeste, Aragem, 8, Leste, Meio a um metro>) = 0,00002/0,00022 = 0,08137P(Onda gorda|<Canal da Barra, Sudoeste, Aragem, 8, Leste, Meio a um metro>) = 0,00007/0,00022 = 0,31874";0.31873623023830566;0.13626044982132007;0.4636343282158649;0.0813689917245094;"8.2";"Leste";"Meio a um metro"
4;"Oeste";"Canal da Barra";"Aragem";"Onda gorda";"2020-03-07 06:00:00";"P(Fechando|<Canal da Barra, Leste, Vento Moderado, 8, Leste, Meio a um metro>) = 0,00004/0,00024 = 0,18126P(Cavado|<Canal da Barra, Leste, Vento Moderado, 8, Leste, Meio a um metro>) = 0,00000/0,00024 = 0,00000P(Alinhado|<Canal da Barra, Leste, Vento Moderado, 8, Leste, Meio a um metro>) = 0,00000/0,00024 = 0,00000P(Onda gorda|<Canal da Barra, Leste, Vento Moderado, 8, Leste, Meio a um metro>) = 0,00020/0,00024 = 0,81874";0.8187352696768565;0.0;0.18126473032314355;0.0;"7.8";"Leste";"Meio a um metro"
5;"Oeste";"Canal da Barra";"Aragem";"Fechando";"2020-03-07 08:00:00";"P(Fechando|<Canal da Barra, Oeste, Aragem, 8, Leste, Meio a um metro>) = 0,00007/0,00015 = 0,45519P(Cavado|<Canal da Barra, Oeste, Aragem, 8, Leste, Meio a um metro>) = 0,00000/0,00015 = 0,03098P(Alinhado|<Canal da Barra, Oeste, Aragem, 8, Leste, Meio a um metro>) = 0,00001/0,00015 = 0,04394P(Onda gorda|<Canal da Barra, Oeste, Aragem, 8, Leste, Meio a um metro>) = 0,00007/0,00015 = 0,46989";0.4698925469067472;0.03098028663811751;0.455189381208825;0.04393778524631024;"7.7";"Leste";"Meio a um metro"
6;"Nordeste";"Canal da Barra";"Vento Fraco";"Onda gorda";"2020-03-07 12:00:00";"P(Fechando|<Canal da Barra, Oeste, Aragem, 8, Leste, Meio a um metro>) = 0,00007/0,00015 = 0,45519P(Cavado|<Canal da Barra, Oeste, Aragem, 8, Leste, Meio a um metro>) = 0,00000/0,00015 = 0,03098P(Alinhado|<Canal da Barra, Oeste, Aragem, 8, Leste, Meio a um metro>) = 0,00001/0,00015 = 0,04394P(Onda gorda|<Canal da Barra, Oeste, Aragem, 8, Leste, Meio a um metro>) = 0,00007/0,00015 = 0,46989";0.4698925469067472;0.03098028663811751;0.455189381208825;0.04393778524631024;"7.7";"Leste";"Meio a um metro"
7;"Nordeste";"Canal da Barra";"Vento Moderado";"Onda gorda";"2020-03-07 14:00:00";"P(Fechando|<Canal da Barra, Nordeste, Vento Fraco, 8, Leste, Meio a um metro>) = 0,00009/0,00020 = 0,46649P(Cavado|<Canal da Barra, Nordeste, Vento Fraco, 8, Leste, Meio a um metro>) = 0,00001/0,00020 = 0,03885P(Alinhado|<Canal da Barra, Nordeste, Vento Fraco, 8, Leste, Meio a um metro>) = 0,00000/0,00020 = 0,00000P(Onda gorda|<Canal da Barra, Nordeste, Vento Fraco, 8, Leste, Meio a um metro>) = 0,00010/0,00020 = 0,49465";0.4946522877550066;0.03885444425366646;0.46649326799132707;0.0;"7.8";"Leste";"Meio a um metro"
8;"Noroeste";"Canal da Barra";"Aragem";"Onda gorda";"2020-03-08 07:00:00";"P(Fechando|<Canal da Barra, Nordeste, Vento Moderado, 8, Leste, Meio a um metro>) = 0,00029/0,00060 = 0,47958P(Cavado|<Canal da Barra, Nordeste, Vento Moderado, 8, Leste, Meio a um metro>) = 0,00002/0,00060 = 0,04135P(Alinhado|<Canal da Barra, Nordeste, Vento Moderado, 8, Leste, Meio a um metro>) = 0,00000/0,00060 = 0,00000P(Onda gorda|<Canal da Barra, Nordeste, Vento Moderado, 8, Leste, Meio a um metro>) = 0,00029/0,00060 = 0,47906";0.479060365022948;0.04135467587505817;0.4795849591019938;0.0;"8.2";"Leste";"Meio a um metro"
9;"Sudeste";"Canal da Barra";"Vento Moderado";"Onda gorda";"2020-03-08 11:00:00";"P(Fechando|<Canal da Barra, Noroeste, Aragem, 8, Leste, Meio a um metro>) = 0,00010/0,00023 = 0,41422P(Cavado|<Canal da Barra, Noroeste, Aragem, 8, Leste, Meio a um metro>) = 0,00002/0,00023 = 0,06712P(Alinhado|<Canal da Barra, Noroeste, Aragem, 8, Leste, Meio a um metro>) = 0,00001/0,00023 = 0,02856P(Onda gorda|<Canal da Barra, Noroeste, Aragem, 8, Leste, Meio a um metro>) = 0,00011/0,00023 = 0,49010";0.4901016467960316;0.06712296728229238;0.41421624549801267;0.028559140423663414;"8.3";"Leste";"Meio a um metro"
10;"Nordeste";"Canal da Barra";"Vento Moderado";"Fechando";"2020-03-08 17:00:00";"P(Fechando|<Canal da Barra, Sudeste, Vento Moderado, 8, Leste, Meio a um metro>) = 0,00007/0,00038 = 0,17354P(Cavado|<Canal da Barra, Sudeste, Vento Moderado, 8, Leste, Meio a um metro>) = 0,00002/0,00038 = 0,06484P(Alinhado|<Canal da Barra, Sudeste, Vento Moderado, 8, Leste, Meio a um metro>) = 0,00002/0,00038 = 0,04311P(Onda gorda|<Canal da Barra, Sudeste, Vento Moderado, 8, Leste, Meio a um metro>) = 0,00028/0,00038 = 0,71851";0.718510096703226;0.06484439024486754;0.1735366646187937;0.04310884843311276;"8.2";"Nordeste";"Meio a um metro"
11;"Noroeste";"Canal da Barra";"Aragem";"Onda gorda";"2020-03-09 06:00:00";"P(Fechando|<Canal da Barra, Nordeste, Vento Moderado, 8, Nordeste, Meio a um metro>) = 0,00027/0,00083 = 0,32193P(Cavado|<Canal da Barra, Nordeste, Vento Moderado, 8, Nordeste, Meio a um metro>) = 0,00002/0,00083 = 0,02615P(Alinhado|<Canal da Barra, Nordeste, Vento Moderado, 8, Nordeste, Meio a um metro>) = 0,00000/0,00083 = 0,00000P(Onda gorda|<Canal da Barra, Nordeste, Vento Moderado, 8, Nordeste, Meio a um metro>) = 0,00054/0,00083 = 0,65192";0.6519165436186563;0.026150988620759104;0.3219324677605846;0.0;"8.2";"Leste";"Meio a um metro"
12;"Norte";"Canal da Barra";"Vento Fraco";"Alinhado";"2020-03-09 08:00:00";"P(Fechando|<Canal da Barra, Noroeste, Aragem, 8, Leste, Meio a um metro>) = 0,00010/0,00023 = 0,41422P(Cavado|<Canal da Barra, Noroeste, Aragem, 8, Leste, Meio a um metro>) = 0,00002/0,00023 = 0,06712P(Alinhado|<Canal da Barra, Noroeste, Aragem, 8, Leste, Meio a um metro>) = 0,00001/0,00023 = 0,02856P(Onda gorda|<Canal da Barra, Noroeste, Aragem, 8, Leste, Meio a um metro>) = 0,00011/0,00023 = 0,49010";0.4901016467960316;0.06712296728229238;0.41421624549801267;0.028559140423663414;"8.3";"Leste";"Meio a um metro"
13;"Sudoeste";"Canal da Barra";"Vento Moderado";"Onda gorda";"2020-03-09 10:00:00";"P(Fechando|<Canal da Barra, Norte, Vento Fraco, 8, Leste, Meio a um metro>) = 0,00009/0,00043 = 0,21660P(Cavado|<Canal da Barra, Norte, Vento Fraco, 8, Leste, Meio a um metro>) = 0,00005/0,00043 = 0,10824P(Alinhado|<Canal da Barra, Norte, Vento Fraco, 8, Leste, Meio a um metro>) = 0,00002/0,00043 = 0,04605P(Onda gorda|<Canal da Barra, Norte, Vento Fraco, 8, Leste, Meio a um metro>) = 0,00027/0,00043 = 0,62910";0.6291035832113033;0.10824338752722917;0.21659818053402344;0.0460548487274441;"8.3";"Leste";"Meio a um metro"
