"id";"wind_direction";"spot";"wind_speed";"fact_size";"date";"description";"flat_probability";"small_probability";"medium_probability";"big_probability";"biggest_probability";"period";"swell_direction";"swell_size"
1;"Oeste";"Canal da Barra";"Bafagem";"Meio a um metro";"2020-03-06 09:00:00";"P(Meio a um metro|<Canal da Barra, Oeste, Aragem, 8, Leste, Meio a um metro>) = 0,00013/0,00015 = 0,82920P(Flat|<Canal da Barra, Oeste, Aragem, 8, Leste, Meio a um metro>) = 0,00001/0,00015 = 0,08985P(Um a um metro e meio|<Canal da Barra, Oeste, Aragem, 8, Leste, Meio a um metro>) = 0,00001/0,00015 = 0,08094";0.08985474139435298;0.8292024962127292;0.08094276239291787;0.0;0.0;"8.3";"Leste";"Meio a um metro"
2;"Sudoeste";"Canal da Barra";"Aragem";"Meio a um metro";"2020-03-06 10:00:00";"P(Meio a um metro|<Canal da Barra, Oeste, Bafagem, 8, Leste, Meio a um metro>) = 0,00002/0,00003 = 0,80281P(Flat|<Canal da Barra, Oeste, Bafagem, 8, Leste, Meio a um metro>) = 0,00001/0,00003 = 0,19719P(Um a um metro e meio|<Canal da Barra, Oeste, Bafagem, 8, Leste, Meio a um metro>) = 0,00000/0,00003 = 0,00000";0.1971885209218556;0.8028114790781444;0.0;0.0;0.0;"8.3";"Leste";"Meio a um metro"
3;"Leste";"Canal da Barra";"Vento Moderado";"Meio a um metro";"2020-03-06 16:00:00";"P(Meio a um metro|<Canal da Barra, Sudoeste, Aragem, 8, Leste, Meio a um metro>) = 0,00017/0,00021 = 0,83004P(Flat|<Canal da Barra, Sudoeste, Aragem, 8, Leste, Meio a um metro>) = 0,00003/0,00021 = 0,14391P(Um a um metro e meio|<Canal da Barra, Sudoeste, Aragem, 8, Leste, Meio a um metro>) = 0,00001/0,00021 = 0,02604";0.14391331300611473;0.8300429986436825;0.026043688350202755;0.0;0.0;"8.2";"Leste";"Meio a um metro"
4;"Oeste";"Canal da Barra";"Aragem";"Meio a um metro";"2020-03-07 06:00:00";"P(Meio a um metro|<Canal da Barra, Leste, Vento Moderado, 8, Leste, Meio a um metro>) = 0,00016/0,00024 = 0,65284P(Flat|<Canal da Barra, Leste, Vento Moderado, 8, Leste, Meio a um metro>) = 0,00008/0,00024 = 0,34716P(Um a um metro e meio|<Canal da Barra, Leste, Vento Moderado, 8, Leste, Meio a um metro>) = 0,00000/0,00024 = 0,00000";0.3471561866201058;0.6528438133798942;0.0;0.0;0.0;"7.8";"Leste";"Meio a um metro"
5;"Oeste";"Canal da Barra";"Aragem";"Meio a um metro";"2020-03-07 08:00:00";"P(Meio a um metro|<Canal da Barra, Oeste, Aragem, 8, Leste, Meio a um metro>) = 0,00013/0,00015 = 0,82920P(Flat|<Canal da Barra, Oeste, Aragem, 8, Leste, Meio a um metro>) = 0,00001/0,00015 = 0,08985P(Um a um metro e meio|<Canal da Barra, Oeste, Aragem, 8, Leste, Meio a um metro>) = 0,00001/0,00015 = 0,08094";0.08985474139435298;0.8292024962127292;0.08094276239291787;0.0;0.0;"7.7";"Leste";"Meio a um metro"
6;"Nordeste";"Canal da Barra";"Vento Fraco";"Meio a um metro";"2020-03-07 12:00:00";"P(Meio a um metro|<Canal da Barra, Oeste, Aragem, 8, Leste, Meio a um metro>) = 0,00013/0,00015 = 0,82920P(Flat|<Canal da Barra, Oeste, Aragem, 8, Leste, Meio a um metro>) = 0,00001/0,00015 = 0,08985P(Um a um metro e meio|<Canal da Barra, Oeste, Aragem, 8, Leste, Meio a um metro>) = 0,00001/0,00015 = 0,08094";0.08985474139435298;0.8292024962127292;0.08094276239291787;0.0;0.0;"7.7";"Leste";"Meio a um metro"
7;"Nordeste";"Canal da Barra";"Vento Moderado";"Meio a um metro";"2020-03-07 14:00:00";"P(Meio a um metro|<Canal da Barra, Nordeste, Vento Fraco, 8, Leste, Meio a um metro>) = 0,00013/0,00019 = 0,69716P(Flat|<Canal da Barra, Nordeste, Vento Fraco, 8, Leste, Meio a um metro>) = 0,00005/0,00019 = 0,24625P(Um a um metro e meio|<Canal da Barra, Nordeste, Vento Fraco, 8, Leste, Meio a um metro>) = 0,00001/0,00019 = 0,05659";0.24624893633345696;0.6971629366828659;0.056588126983677225;0.0;0.0;"7.8";"Leste";"Meio a um metro"
8;"Noroeste";"Canal da Barra";"Aragem";"Meio a um metro";"2020-03-08 07:00:00";"P(Meio a um metro|<Canal da Barra, Nordeste, Vento Moderado, 8, Leste, Meio a um metro>) = 0,00040/0,00053 = 0,74631P(Flat|<Canal da Barra, Nordeste, Vento Moderado, 8, Leste, Meio a um metro>) = 0,00011/0,00053 = 0,20706P(Um a um metro e meio|<Canal da Barra, Nordeste, Vento Moderado, 8, Leste, Meio a um metro>) = 0,00002/0,00053 = 0,04663";0.20705700703283691;0.7463128267066741;0.046630166260488874;0.0;0.0;"8.2";"Leste";"Meio a um metro"
9;"Sudeste";"Canal da Barra";"Vento Moderado";"Meio a um metro";"2020-03-08 11:00:00";"P(Meio a um metro|<Canal da Barra, Noroeste, Aragem, 8, Leste, Meio a um metro>) = 0,00021/0,00025 = 0,85378P(Flat|<Canal da Barra, Noroeste, Aragem, 8, Leste, Meio a um metro>) = 0,00002/0,00025 = 0,09622P(Um a um metro e meio|<Canal da Barra, Noroeste, Aragem, 8, Leste, Meio a um metro>) = 0,00001/0,00025 = 0,05000";0.09621837642933004;0.8537766780225572;0.050004945548112835;0.0;0.0;"8.3";"Leste";"Meio a um metro"
10;"Nordeste";"Canal da Barra";"Vento Moderado";"Meio a um metro";"2020-03-08 17:00:00";"P(Meio a um metro|<Canal da Barra, Sudeste, Vento Moderado, 8, Leste, Meio a um metro>) = 0,00035/0,00043 = 0,80691P(Flat|<Canal da Barra, Sudeste, Vento Moderado, 8, Leste, Meio a um metro>) = 0,00008/0,00043 = 0,19309P(Um a um metro e meio|<Canal da Barra, Sudeste, Vento Moderado, 8, Leste, Meio a um metro>) = 0,00000/0,00043 = 0,00000";0.19308764841871415;0.8069123515812859;0.0;0.0;0.0;"8.2";"Nordeste";"Meio a um metro"
