"id";"wind_direction";"spot";"wind_speed";"fact_texture";"date";"description";"flat_probability";"frizzy_probability";"stirred_probability";"restless_probability"
1;"Oeste";"Canal da Barra";"Bafagem";"Liso";"2020-03-06 09:00:00";"P(Encrespado|<Canal da Barra, Oeste, Aragem>) = 0,00069/0,00382 = 0,18180P(Muito Mexido|<Canal da Barra, Oeste, Aragem>) = 0,00000/0,00382 = 0,00000P(Mexido|<Canal da Barra, Oeste, Aragem>) = 0,00003/0,00382 = 0,00819P(Liso|<Canal da Barra, Oeste, Aragem>) = 0,00309/0,00382 = 0,81001";0.8100109219345923;0.18179719045788476;0.008191887607522947;0.0
2;"Sudoeste";"Canal da Barra";"Aragem";"Liso";"2020-03-06 10:00:00";"P(Encrespado|<Canal da Barra, Oeste, Bafagem>) = 0,00015/0,00093 = 0,16632P(Muito Mexido|<Canal da Barra, Oeste, Bafagem>) = 0,00000/0,00093 = 0,00000P(Mexido|<Canal da Barra, Oeste, Bafagem>) = 0,00000/0,00093 = 0,00000P(Liso|<Canal da Barra, Oeste, Bafagem>) = 0,00077/0,00093 = 0,83368";0.8336804225408239;0.16631957745917614;0.0;0.0
3;"Leste";"Canal da Barra";"Vento Moderado";"Liso";"2020-03-06 16:00:00";"P(Encrespado|<Canal da Barra, Sudoeste, Aragem>) = 0,00076/0,00534 = 0,14238P(Muito Mexido|<Canal da Barra, Sudoeste, Aragem>) = 0,00000/0,00534 = 0,00000P(Mexido|<Canal da Barra, Sudoeste, Aragem>) = 0,00017/0,00534 = 0,03222P(Liso|<Canal da Barra, Sudoeste, Aragem>) = 0,00441/0,00534 = 0,82540";0.8253997595051885;0.14238174372596737;0.03221849676884417;0.0
4;"Oeste";"Canal da Barra";"Aragem";"Encrespado";"2020-03-07 06:00:00";"P(Encrespado|<Canal da Barra, Leste, Vento Moderado>) = 0,00175/0,00500 = 0,34948P(Muito Mexido|<Canal da Barra, Leste, Vento Moderado>) = 0,00012/0,00500 = 0,02423P(Mexido|<Canal da Barra, Leste, Vento Moderado>) = 0,00081/0,00500 = 0,16257P(Liso|<Canal da Barra, Leste, Vento Moderado>) = 0,00232/0,00500 = 0,46371";0.4637112974522709;0.3494844479146615;0.16257466647794827;0.02422958815511936
5;"Oeste";"Canal da Barra";"Aragem";"Liso";"2020-03-07 08:00:00";"P(Encrespado|<Canal da Barra, Oeste, Aragem>) = 0,00069/0,00382 = 0,18180P(Muito Mexido|<Canal da Barra, Oeste, Aragem>) = 0,00000/0,00382 = 0,00000P(Mexido|<Canal da Barra, Oeste, Aragem>) = 0,00003/0,00382 = 0,00819P(Liso|<Canal da Barra, Oeste, Aragem>) = 0,00309/0,00382 = 0,81001";0.8100109219345923;0.18179719045788476;0.008191887607522947;0.0
6;"Nordeste";"Canal da Barra";"Vento Fraco";"Encrespado";"2020-03-07 12:00:00";"P(Encrespado|<Canal da Barra, Oeste, Aragem>) = 0,00069/0,00382 = 0,18180P(Muito Mexido|<Canal da Barra, Oeste, Aragem>) = 0,00000/0,00382 = 0,00000P(Mexido|<Canal da Barra, Oeste, Aragem>) = 0,00003/0,00382 = 0,00819P(Liso|<Canal da Barra, Oeste, Aragem>) = 0,00309/0,00382 = 0,81001";0.8100109219345923;0.18179719045788476;0.008191887607522947;0.0
7;"Nordeste";"Canal da Barra";"Vento Moderado";"Mexido";"2020-03-07 14:00:00";"P(Encrespado|<Canal da Barra, Nordeste, Vento Fraco>) = 0,00161/0,00270 = 0,59364P(Muito Mexido|<Canal da Barra, Nordeste, Vento Fraco>) = 0,00000/0,00270 = 0,00000P(Mexido|<Canal da Barra, Nordeste, Vento Fraco>) = 0,00075/0,00270 = 0,27766P(Liso|<Canal da Barra, Nordeste, Vento Fraco>) = 0,00035/0,00270 = 0,12870";0.12869529043563369;0.5936439649812731;0.27766074458309314;0.0
8;"Noroeste";"Canal da Barra";"Aragem";"Encrespado";"2020-03-08 07:00:00";"P(Encrespado|<Canal da Barra, Nordeste, Vento Moderado>) = 0,00475/0,00877 = 0,54098P(Muito Mexido|<Canal da Barra, Nordeste, Vento Moderado>) = 0,00000/0,00877 = 0,00000P(Mexido|<Canal da Barra, Nordeste, Vento Moderado>) = 0,00325/0,00877 = 0,37086P(Liso|<Canal da Barra, Nordeste, Vento Moderado>) = 0,00077/0,00877 = 0,08815";0.08815118317521521;0.5409848948176514;0.3708639220071335;0.0
9;"Sudeste";"Canal da Barra";"Vento Moderado";"Mexido";"2020-03-08 11:00:00";"P(Encrespado|<Canal da Barra, Noroeste, Aragem>) = 0,00159/0,00365 = 0,43479P(Muito Mexido|<Canal da Barra, Noroeste, Aragem>) = 0,00000/0,00365 = 0,00000P(Mexido|<Canal da Barra, Noroeste, Aragem>) = 0,00052/0,00365 = 0,14143P(Liso|<Canal da Barra, Noroeste, Aragem>) = 0,00155/0,00365 = 0,42378";0.4237752987768558;0.43479432750127256;0.14143037372187164;0.0
10;"Nordeste";"Canal da Barra";"Vento Moderado";"Encrespado";"2020-03-08 17:00:00";"P(Encrespado|<Canal da Barra, Sudeste, Vento Moderado>) = 0,00275/0,00806 = 0,34100P(Muito Mexido|<Canal da Barra, Sudeste, Vento Moderado>) = 0,00000/0,00806 = 0,00000P(Mexido|<Canal da Barra, Sudeste, Vento Moderado>) = 0,00183/0,00806 = 0,22712P(Liso|<Canal da Barra, Sudeste, Vento Moderado>) = 0,00348/0,00806 = 0,43188";0.43188167756596285;0.34099526092791727;0.22712306150611997;0.0
