idhourforecast,iddayforecast,time,temperature,windspeed,winddirdegree,preciptation,humidity,pressure,cloundover,heatIndex,dewpoint,windchill,windgust,feelslike,sigheight,swellheight,swelldir,period,watertemp
494,334,0,23,26,10,0.8,89,1013,100,25,21,23,46,25,0.8,0.6,110,9.8,26
495,334,100,23,27,126,1,90,1013,100,25,21,23,45,25,0.8,0.6,110,9.8,26
496,334,200,23,27,242,1.3,91,1012,100,25,21,23,44,25,0.8,0.7,110,9.7,26
497,334,300,23,27,357,1.5,91,1011,100,25,21,23,44,25,0.8,0.7,110,9.7,26
498,334,400,23,26,354,1,90,1011,92,25,21,23,44,25,0.8,0.7,110,9.6,26
499,334,500,23,25,351,0.6,88,1011,83,25,20,23,45,25,0.7,0.7,110,9.6,26
500,334,600,23,24,347,0.1,87,1012,75,25,20,23,45,25,0.7,0.7,110,9.5,26
501,334,700,23,23,344,0.1,83,1012,74,26,20,23,45,26,0.7,0.7,77,7.9,26
502,334,800,24,22,342,0.1,80,1012,74,26,20,24,45,26,0.8,0.7,43,6.2,26
503,334,900,25,22,339,0.1,76,1013,73,27,21,25,44,27,0.8,0.7,10,4.6,26
504,334,1000,25,21,339,0.9,77,1012,63,27,21,25,39,27,0.8,0.7,10,4.6,26
505,334,1100,26,21,339,1.8,77,1012,54,28,21,26,32,28,0.7,0.6,10,4.7,26
506,334,1200,26,20,339,2.6,78,1012,78,28,22,26,27,28,0.7,0.6,10,4.7,26
507,334,1300,26,20,227,3.6,78,1011,39,28,22,26,27,28,0.7,0.6,23,5.8,26
508,334,1400,26,21,115,4.7,77,1009,34,29,22,26,27,29,0.6,0.6,37,6.8,26
509,334,1500,26,21,2,5.7,77,1008,87,29,22,26,27,29,0.6,0.6,50,7.9,26
510,334,1600,25,21,10,6.2,83,1008,52,28,22,25,33,28,0.6,0.6,50,7.9,26
511,334,1700,24,22,18,6.8,89,1008,75,27,22,24,38,27,0.6,0.6,50,7.8,26
512,334,1800,24,22,25,7.3,95,1008,97,26,23,24,44,26,0.6,0.6,50,7.8,26
513,334,1900,24,23,23,10,95,1009,92,26,23,24,38,26,0.6,0.6,50,7.8,26
514,334,2000,24,23,21,12.7,94,1009,87,26,23,24,32,26,0.6,0.7,50,7.8,26
515,334,2100,24,23,19,15.4,94,1009,81,26,23,24,26,26,0.6,0.7,50,7.8,26
516,334,2200,24,26,20,13.1,95,1009,88,26,23,24,35,26,0.7,0.7,50,7.8,26
517,334,2300,23,28,21,10.8,95,1009,94,26,23,23,43,26,0.7,0.8,50,7.7,26
