idseaConditionFact,bulk,texture,shape,uniformity,score,date,idspot
25,1,1,4,2,8,3/5/2020 6:00,380
26,1,1,4,1,7,3/5/2020 7:00,380
27,1,1,4,1,7,3/5/2020 6:00,386
30,1,1,4,1,4,3/6/2020 6:00,386
31,1,2,3,1,3,3/6/2020 9:00,386
32,1,1,3,1,5,3/6/2020 17:00,386
33,1,2,3,0,2,3/7/2020 6:00,386
34,1,1,3,1,3,3/7/2020 8:00,386
35,1,2,4,1,4,3/7/2020 11:00,386
36,1,2,3,1,5,3/7/2020 14:00,386
37,1,3,3,0,1,3/7/2020 16:00,386
38,1,3,3,0,1,3/8/2020 8:00,386
39,1,2,1,1,4,3/8/2020 10:00,386
40,2,1,1,1,4,3/6/2020 6:00,380
41,1,1,4,1,6,3/6/2020 9:00,380
42,1,1,1,0,3,3/6/2020 10:00,380
43,1,1,1,1,4,3/6/2020 16:00,380
44,1,2,3,0,2,3/7/2020 6:00,380
45,1,1,1,1,3,3/7/2020 8:00,380
46,1,2,3,0,3,3/7/2020 12:00,380
47,1,3,3,0,1,3/7/2020 14:00,380
48,1,2,3,0,1,3/8/2020 7:00,380
49,1,3,3,0,3,3/8/2020 11:00,380
50,1,2,1,0,2,3/8/2020 17:00,380
51,1,2,3,2,6,3/9/2020 6:00,380
52,0,2,4,1,3,3/9/2020 8:00,380
53,1,3,3,1,5,3/9/2020 10:00,380
54,0,3,3,0,1,3/9/2020 14:00,380
55,1,2,3,1,4,3/13/2020 19:00,386
56,1,2,3,0,1,3/14/2020 6:00,386
57,1,1,4,1,5,3/14/2020 9:00,386
58,1,2,3,0,2,3/14/2020 12:00,386
59,0,3,3,0,0,3/14/2020 13:00,386
60,1,3,3,0,2,3/15/2020 6:00,386
61,1,2,3,1,4,3/15/2020 9:00,386
62,1,2,3,1,4,3/10/2020 6:00,380
63,0,1,3,0,1,3/10/2020 8:00,380
64,1,2,1,1,3,3/10/2020 9:00,380
65,1,3,3,0,1,3/10/2020 13:00,380
66,1,1,3,1,3,3/11/2020 8:00,380
67,1,2,3,1,6,3/11/2020 9:00,380
68,1,2,1,1,3,3/11/2020 11:00,380
69,0,3,3,0,1,3/11/2020 13:00,380
70,0,2,3,0,1,3/12/2020 6:00,380
71,0,3,3,0,1,3/12/2020 12:00,380
72,0,4,3,0,0,3/12/2020 14:00,380
73,1,3,3,0,2,3/13/2020 7:00,380
74,0,3,3,0,1,3/13/2020 16:00,380
75,1,1,4,1,3,3/14/2020 6:00,380
76,1,1,4,1,3,3/14/2020 8:00,380
77,0,2,3,1,2,3/14/2020 10:00,380
78,0,2,3,0,1,3/14/2020 12:00,380
79,0,3,3,0,1,3/14/2020 15:00,380
80,1,3,3,0,1,3/15/2020 10:00,380
81,0,1,3,1,1,3/16/2020 6:00,380
82,1,1,3,2,5,3/16/2020 10:00,380
83,1,1,4,2,5,3/16/2020 11:00,380
84,0,1,3,2,2,3/16/2020 13:00,380
85,0,1,3,2,1,3/17/2020 6:00,380
86,1,1,3,2,4,3/17/2020 8:00,380
87,0,1,3,2,2,3/17/2020 12:00,380
88,1,1,4,1,4,3/20/2020 6:00,386
89,1,2,3,1,3,3/20/2020 9:00,386
90,0,2,3,1,1,3/20/2020 12:00,386
91,0,1,3,1,1,3/22/2020 6:00,386
92,0,1,4,1,1,3/21/2020 6:00,386
93,0,2,4,1,1,3/21/2020 8:00,386
94,1,1,4,1,4,3/22/2020 10:00,386
95,0,1,1,1,2,3/22/2020 12:00,386
96,1,2,3,1,3,3/22/2020 16:00,386
97,1,3,3,0,1,3/22/2020 18:00,386
98,0,2,3,0,1,3/23/2020 6:00,386
99,0,2,3,0,1,3/23/2020 16:00,386
100,1,2,3,0,1,3/24/2020 6:00,386
101,1,3,3,0,1,3/24/2020 10:00,386
102,1,2,3,1,4,3/24/2020 16:00,386
103,0,2,3,0,1,3/25/2020 6:00,386
104,1,3,3,0,3,3/25/2020 12:00,386
105,0,3,3,0,1,3/25/2020 16:00,386
106,1,2,3,0,1,3/26/2020 6:00,386
107,1,1,4,1,4,3/26/2020 9:00,386
108,1,2,1,1,5,3/26/2020 11:00,386
109,1,3,3,0,2,3/26/2020 15:00,386
110,0,3,3,0,1,3/26/2020 18:00,386
111,1,3,3,0,1,3/27/2020 6:00,386
112,1,2,1,1,3,3/27/2020 12:00,386
113,1,1,3,0,2,3/28/2020 6:00,386
114,0,1,3,1,1,3/28/2020 8:00,386
115,1,2,1,1,1,3/28/2020 12:00,386
116,1,2,3,1,2,3/28/2020 14:00,386
117,1,2,3,1,2,3/29/2020 6:00,386
118,1,2,3,2,5,3/29/2020 12:00,386
119,1,2,3,1,4,3/29/2020 13:00,386
120,1,3,1,1,3,3/29/2020 15:00,386
121,0,1,3,2,2,3/21/2020 6:00,380
122,0,1,3,2,1,3/21/2020 10:00,380
123,1,2,3,0,2,3/22/2020 7:00,380
124,0,1,3,1,1,3/22/2020 8:00,380
125,0,2,3,1,1,3/22/2020 11:00,380
126,0,2,3,0,1,3/23/2020 6:00,380
127,0,2,3,0,1,3/24/2020 6:00,380
128,1,3,3,1,3,3/24/2020 10:00,380
129,0,2,3,0,2,3/24/2020 12:00,380
130,0,2,3,0,1,3/25/2020 6:00,380
131,0,3,3,0,1,3/25/2020 10:00,380
132,1,3,3,0,2,3/25/2020 17:00,380
133,0,2,3,0,1,3/26/2020 6:00,380
134,0,3,3,0,1,3/26/2020 15:00,380
135,1,3,3,0,2,3/27/2020 6:00,380
136,1,2,1,0,2,3/27/2020 9:00,380
137,1,2,3,1,4,3/27/2020 12:00,380
138,1,1,3,2,4,4/4/2020 6:00,386
139,0,2,1,1,1,4/4/2020 11:00,386
140,1,2,1,1,2,4/5/2020 6:00,386
141,1,1,2,1,4,4/5/2020 8:00,386
142,1,2,1,1,4,4/5/2020 10:00,386
143,1,2,3,1,5,4/5/2020 11:00,386
144,1,2,3,2,6,4/5/2020 12:00,386
145,0,3,3,0,1,4/5/2020 15:00,386
146,1,3,3,0,1,4/6/2020 7:00,386
147,0,4,1,0,1,4/6/2020 10:00,386
148,0,2,1,0,1,4/6/2020 13:00,386
149,1,2,3,1,4,4/6/2020 16:00,386
150,1,1,3,2,8,4/3/2020 6:00,386
151,1,2,3,2,5,4/3/2020 14:00,386
152,1,1,3,0,3,4/3/2020 6:00,380
153,1,1,3,1,4,4/3/2020 8:00,380
154,0,1,2,1,2,4/3/2020 12:00,380
155,1,2,2,1,4,4/4/2020 6:00,380
156,1,1,1,1,3,4/4/2020 8:00,380
157,1,1,2,2,6,4/4/2020 10:00,380
158,0,1,3,1,2,4/4/2020 12:00,380
159,1,1,2,1,4,4/4/2020 14:00,380
160,1,1,1,1,3,4/5/2020 7:00,380
161,1,2,1,1,2,4/5/2020 9:00,380
162,1,2,1,1,2,4/6/2020 6:00,380
163,1,3,3,1,2,4/6/2020 10:00,380
164,1,3,1,0,1,4/6/2020 12:00,380
165,1,1,3,1,4,4/6/2020 14:00,380
166,1,1,2,2,6,4/7/2020 6:00,380
167,1,1,1,2,4,4/7/2020 9:00,380
168,0,1,3,2,2,4/7/2020 12:00,380
169,1,1,1,1,2,4/8/2020 6:00,380
170,1,2,3,0,2,4/6/2020 6:00,380
171,0,1,1,2,1,4/8/2020 9:00,380
172,1,1,1,1,2,4/8/2020 18:00,380
173,0,1,4,1,1,4/9/2020 7:00,380
174,0,1,4,2,1,4/10/2020 6:00,380
175,1,1,2,2,4,4/10/2020 8:00,380
176,2,1,2,2,7,4/11/2020 7:00,380
177,1,1,1,1,4,4/11/2020 8:00,380
178,1,1,2,2,5,4/11/2020 11:00,380
179,2,1,2,2,6,4/11/2020 13:00,380
180,1,1,1,1,3,4/11/2020 16:00,380
181,2,1,2,2,5,4/12/2020 6:00,380
182,1,1,1,1,3,4/12/2020 8:00,380
183,1,2,3,2,4,4/12/2020 15:00,380
184,0,1,3,2,2,4/9/2020 7:00,386
185,1,2,3,1,5,4/9/2020 12:00,386
186,0,2,3,2,1,4/9/2020 17:00,386
187,0,1,3,0,1,4/10/2020 7:00,386
188,1,2,1,1,2,4/10/2020 10:00,386
189,2,2,3,2,6,4/10/2020 11:00,386
190,1,2,3,0,3,4/10/2020 14:00,386
191,1,1,1,1,2,4/11/2020 8:00,386
192,1,2,3,1,4,4/11/2020 12:00,386
193,0,2,3,1,2,4/11/2020 15:00,386
194,1,1,2,1,4,4/12/2020 8:00,386
195,1,3,3,0,1,4/12/2020 14:00,386
196,1,2,1,1,3,4/12/2020 17:00,386
197,0,1,3,1,2,4/13/2020 8:00,386
198,1,1,3,2,5,4/13/2020 9:00,386
199,1,2,1,1,3,4/13/2020 10:00,386
200,0,2,1,0,1,4/13/2020 13:00,386
201,1,3,3,0,3,4/14/2020 7:00,386
202,1,2,1,0,3,4/14/2020 9:00,386
203,1,3,3,0,2,4/14/2020 11:00,386
204,2,3,3,1,5,4/14/2020 13:00,386
205,1,3,1,0,2,4/14/2020 16:00,386
206,2,3,3,1,5,4/14/2020 17:00,386
207,1,1,1,2,4,4/15/2020 7:00,386
208,1,2,1,1,2,4/15/2020 9:00,386
209,1,1,1,2,2,4/15/2020 10:00,386
210,0,2,1,1,1,4/15/2020 16:00,386
211,1,1,4,2,3,4/16/2020 7:00,386
212,0,2,3,2,1,4/16/2020 9:00,386
213,0,1,4,2,2,4/16/2020 15:00,386
214,1,1,3,2,2,4/17/2020 10:00,386
215,1,1,2,2,5,4/13/2020 7:00,380
216,1,1,1,2,4,4/13/2020 8:00,380
217,1,2,3,1,2,4/13/2020 11:00,380
