iter	Passed	Remaining
0	5	5398
1	9	4796
2	14	4784
3	18	4710
4	23	4603
5	27	4559
6	32	4557
7	35	4439
8	40	4419
9	44	4400
10	48	4329
11	52	4281
12	55	4242
13	59	4211
14	63	4198
15	67	4164
16	70	4102
17	75	4102
18	79	4123
19	83	4094
20	86	4051
21	90	4008
22	93	3973
23	97	3956
24	100	3919
25	103	3886
26	106	3837
27	109	3804
28	112	3769
29	115	3740
30	118	3713
31	122	3691
32	125	3666
33	128	3647
34	131	3624
35	134	3608
36	137	3583
37	140	3564
38	144	3549
39	147	3528
40	150	3517
41	153	3499
42	156	3482
43	159	3466
44	162	3451
45	165	3435
46	168	3421
47	171	3403
48	174	3391
49	177	3378
50	181	3368
51	184	3355
52	187	3342
53	190	3330
54	193	3321
55	196	3309
56	199	3303
57	202	3292
58	205	3283
59	208	3270
60	212	3264
61	215	3261
62	218	3250
63	221	3243
64	224	3233
65	227	3224
66	231	3216
67	234	3212
68	237	3203
69	240	3193
70	243	3184
71	246	3176
72	249	3169
73	252	3165
74	256	3158
75	259	3151
76	262	3145
77	265	3140
78	268	3135
79	271	3126
80	274	3119
81	277	3110
82	280	3103
83	283	3094
84	286	3087
85	289	3080
86	292	3073
87	295	3066
88	299	3060
89	302	3054
90	305	3049
91	308	3040
92	311	3036
93	314	3030
94	318	3029
95	321	3023
96	324	3018
97	327	3013
98	330	3008
99	333	3003
100	336	2998
101	339	2992
102	342	2986
103	346	2981
104	349	2979
105	352	2975
106	355	2967
107	358	2961
108	361	2955
109	364	2952
110	367	2946
111	371	2942
112	374	2936
113	377	2931
114	380	2926
115	383	2924
116	387	2920
117	390	2917
118	393	2914
119	396	2909
120	399	2903
121	402	2898
122	405	2894
123	408	2888
124	412	2884
125	415	2881
126	418	2877
127	421	2871
128	424	2866
129	427	2861
130	431	2859
131	433	2853
132	437	2850
133	440	2846
134	443	2842
135	447	2841
136	450	2838
137	453	2835
138	457	2831
139	460	2827
140	463	2823
141	466	2821
142	470	2817
143	473	2816
144	477	2815
145	481	2813
146	484	2812
147	488	2811
148	491	2807
149	495	2806
150	498	2803
151	502	2802
152	506	2802
153	509	2800
154	513	2799
155	516	2795
156	520	2792
157	523	2790
158	526	2786
159	530	2783
160	533	2780
161	537	2778
162	540	2775
163	544	2773
164	547	2771
165	551	2768
166	554	2765
167	557	2761
168	561	2759
169	564	2754
170	567	2752
171	571	2751
172	574	2747
173	577	2743
174	581	2739
175	584	2737
176	588	2735
177	591	2732
178	595	2729
179	598	2724
180	601	2720
181	604	2716
182	608	2715
183	611	2712
184	615	2710
185	618	2708
186	622	2706
187	626	2705
188	630	2705
189	633	2701
190	637	2698
191	640	2694
192	643	2692
193	647	2690
194	650	2686
195	654	2683
196	657	2679
197	661	2677
198	664	2674
199	667	2671
200	671	2670
201	675	2667
202	678	2664
203	681	2660
204	685	2657
205	688	2653
206	691	2649
207	694	2644
208	697	2641
209	701	2638
210	704	2634
211	707	2630
212	710	2626
213	713	2621
214	716	2617
215	720	2613
216	723	2609
217	726	2604
218	729	2600
219	732	2596
220	735	2591
221	738	2588
222	741	2583
223	744	2580
224	748	2577
225	751	2574
226	754	2570
227	757	2565
228	760	2561
229	763	2556
230	766	2552
231	770	2549
232	773	2545
233	776	2541
234	779	2536
235	782	2532
236	785	2528
237	788	2524
238	791	2521
239	795	2517
240	798	2514
241	801	2511
242	804	2507
243	808	2503
244	811	2499
245	814	2496
246	817	2492
247	820	2488
248	823	2484
249	826	2480
250	829	2476
251	833	2472
252	835	2468
253	839	2464
254	841	2459
255	845	2456
256	848	2451
257	851	2448
258	854	2444
259	857	2441
260	860	2437
261	864	2434
262	867	2430
263	870	2426
264	873	2423
265	876	2419
266	879	2415
267	882	2411
268	885	2407
269	889	2403
270	892	2400
271	895	2395
272	898	2392
273	901	2388
274	904	2384
275	907	2380
276	910	2377
277	913	2373
278	917	2370
279	920	2366
280	923	2362
281	926	2359
282	930	2357
283	933	2354
284	937	2351
285	941	2349
286	944	2347
287	948	2345
288	955	2350
289	960	2350
290	965	2352
291	971	2354
292	976	2355
293	980	2354
294	984	2352
295	988	2352
296	993	2351
297	996	2347
298	999	2344
299	1003	2341
300	1006	2337
301	1009	2333
302	1012	2329
303	1016	2326
304	1019	2322
305	1022	2318
306	1025	2315
307	1028	2311
308	1032	2307
309	1035	2304
310	1038	2300
311	1041	2297
312	1044	2293
313	1047	2289
314	1050	2285
315	1053	2281
316	1056	2277
317	1059	2272
318	1063	2269
319	1066	2265
320	1069	2261
321	1072	2258
322	1075	2254
323	1078	2250
324	1082	2248
325	1086	2245
326	1089	2242
327	1092	2238
328	1095	2235
329	1099	2231
330	1102	2227
331	1105	2223
332	1108	2220
333	1111	2216
334	1114	2212
335	1117	2209
336	1121	2207
337	1125	2203
338	1128	2199
339	1131	2196
340	1134	2192
341	1137	2188
342	1140	2184
343	1143	2180
