iter	Passed	Remaining
0	4	4115
1	7	3760
2	11	3672
3	14	3590
4	18	3721
5	22	3773
6	26	3722
7	29	3684
8	33	3642
9	36	3642
10	40	3660
11	45	3705
12	48	3682
13	51	3649
14	55	3639
15	59	3649
16	62	3627
17	66	3628
18	69	3611
19	73	3593
20	76	3567
21	79	3548
22	82	3518
23	85	3490
24	88	3464
25	91	3442
26	94	3411
27	97	3384
28	100	3359
29	103	3336
30	106	3320
31	109	3311
32	112	3307
33	115	3294
34	119	3283
35	122	3268
36	125	3256
37	127	3238
38	130	3226
39	133	3209
40	136	3197
41	139	3183
42	142	3180
43	146	3179
44	149	3179
45	152	3169
46	155	3162
47	158	3149
48	161	3138
49	164	3131
50	167	3122
51	170	3111
52	173	3099
53	176	3092
54	179	3091
55	182	3083
56	185	3073
57	188	3068
58	191	3057
59	194	3046
60	197	3038
61	200	3035
62	203	3032
63	207	3029
64	210	3028
65	213	3025
66	217	3026
67	221	3030
68	224	3029
69	227	3023
70	231	3022
71	234	3017
72	237	3014
73	240	3013
74	244	3011
75	248	3023
76	252	3021
77	255	3020
78	258	3017
79	261	3010
80	265	3007
81	268	3002
82	271	2999
83	274	2996
84	278	2994
85	281	2991
86	284	2990
87	288	2989
88	291	2984
89	294	2980
90	298	2978
91	301	2972
92	304	2969
93	307	2965
94	311	2970
95	315	2969
96	318	2966
97	323	2976
98	327	2984
99	332	2996
100	337	3004
101	342	3013
102	347	3023
103	351	3027
104	355	3028
105	358	3026
106	362	3021
107	365	3015
108	368	3013
109	371	3006
110	374	3002
111	377	2996
112	381	2993
113	384	2987
114	387	2984
115	391	2981
116	394	2976
117	397	2974
118	400	2968
119	404	2968
120	407	2960
121	411	2958
122	414	2955
123	417	2950
124	420	2945
125	424	2941
126	427	2936
127	430	2934
128	434	2931
129	437	2925
130	440	2921
131	443	2916
132	446	2911
133	449	2907
134	453	2904
135	456	2900
136	459	2895
137	463	2893
138	466	2886
139	469	2882
140	472	2876
141	475	2875
142	479	2871
143	482	2868
144	485	2863
145	489	2861
146	492	2859
147	495	2854
148	499	2850
149	502	2844
150	505	2841
151	508	2838
152	512	2836
153	516	2835
154	519	2834
155	523	2831
156	526	2827
157	529	2824
158	533	2822
159	536	2817
160	540	2815
161	543	2809
162	546	2807
163	549	2802
164	553	2800
165	557	2798
166	560	2793
167	563	2789
168	566	2785
169	570	2784
170	573	2779
171	576	2775
172	580	2773
173	583	2769
174	587	2767
175	590	2763
176	594	2762
177	598	2761
178	601	2757
179	604	2755
180	607	2750
181	611	2747
182	614	2743
183	617	2739
184	620	2735
185	624	2731
186	627	2728
187	630	2724
188	634	2721
189	637	2716
190	640	2713
191	643	2709
192	647	2705
193	650	2701
194	653	2696
195	656	2691
196	659	2688
197	663	2685
198	666	2682
199	669	2678
200	672	2674
201	676	2670
202	678	2665
203	682	2663
204	685	2659
205	689	2655
206	692	2651
207	695	2647
208	698	2643
209	701	2640
210	705	2637
211	708	2632
212	711	2629
213	714	2625
214	718	2622
215	721	2618
216	724	2614
217	727	2609
218	730	2606
219	734	2603
220	737	2598
221	740	2595
222	743	2590
223	746	2587
224	749	2582
225	753	2579
226	756	2574
227	759	2571
228	763	2569
229	766	2566
230	770	2564
231	773	2559
232	776	2557
233	780	2554
234	783	2550
235	786	2547
236	790	2543
237	793	2540
238	796	2535
239	799	2533
240	803	2529
241	806	2526
242	809	2523
243	812	2518
244	816	2515
245	819	2511
246	822	2508
247	826	2504
248	829	2501
249	832	2498
250	836	2496
251	840	2495
252	844	2492
253	848	2491
254	852	2491
255	856	2490
256	860	2488
257	864	2486
258	868	2483
259	871	2481
260	875	2478
261	878	2474
262	882	2471
263	885	2467
264	888	2464
265	891	2461
266	895	2457
267	898	2454
268	901	2449
269	904	2446
270	907	2441
271	911	2439
272	914	2435
273	918	2433
274	921	2429
275	924	2425
276	927	2421
277	931	2418
278	934	2414
279	937	2410
280	941	2407
281	944	2404
282	947	2400
283	950	2396
284	954	2393
285	957	2390
286	960	2387
287	964	2383
288	966	2378
289	970	2375
290	973	2372
291	977	2369
292	980	2365
293	983	2362
294	987	2359
295	990	2355
296	995	2355
297	998	2352
298	1001	2348
299	1004	2344
300	1008	2341
301	1011	2337
302	1014	2333
303	1018	2331
304	1021	2328
305	1025	2325
306	1028	2322
307	1032	2318
308	1035	2316
309	1038	2312
310	1042	2308
311	1045	2305
312	1048	2301
313	1052	2298
314	1055	2294
315	1058	2292
316	1061	2288
317	1065	2284
318	1068	2281
319	1071	2277
320	1075	2274
321	1078	2270
322	1081	2267
323	1085	2263
324	1088	2260
325	1092	2258
326	1095	2254
327	1098	2250
328	1101	2246
329	1104	2242
330	1107	2238
331	1110	2234
332	1113	2230
333	1116	2225
334	1119	2222
335	1122	2218
336	1126	2216
337	1130	2213
338	1133	2209
339	1136	2206
340	1140	2203
341	1143	2199
342	1145	2194
343	1148	2190
344	1151	2186
345	1154	2182
346	1157	2178
347	1160	2174
348	1163	2170
349	1166	2166
350	1169	2162
351	1172	2158
352	1175	2154
353	1178	2150
354	1181	2146
355	1184	2142
356	1188	2139
357	1190	2135
358	1194	2132
359	1197	2128
360	1200	2124
361	1203	2120
362	1205	2116
363	1208	2112
364	1211	2108
365	1214	2104
366	1217	2100
367	1220	2096
368	1223	2092
369	1226	2088
370	1229	2084
371	1232	2081
372	1235	2076
373	1238	2072
374	1241	2068
375	1244	2064
376	1247	2061
377	1250	2057
378	1253	2053
379	1256	2049
380	1258	2045
381	1261	2041
382	1264	2037
383	1267	2033
384	1270	2029
385	1273	2025
386	1276	2021
387	1279	2017
388	1282	2013
389	1285	2010
390	1288	2007
391	1291	2003
392	1294	2000
393	1297	1996
394	1300	1992
395	1303	1988
396	1306	1984
397	1309	1980
398	1312	1976
399	1315	1972
400	1318	1969
401	1321	1966
402	1325	1963
403	1328	1959
404	1331	1956
405	1334	1952
406	1337	1949
407	1340	1945
408	1343	1941
409	1346	1937
410	1349	1933
411	1352	1930
412	1356	1927
413	1359	1923
414	1362	1920
415	1365	1916
416	1368	1913
417	1371	1910
418	1375	1907
419	1378	1904
420	1382	1901
421	1385	1898
422	1388	1894
423	1391	1890
424	1394	1886
425	1397	1883
426	1400	1879
427	1403	1875
428	1406	1871
429	1409	1868
430	1412	1864
431	1415	1861
432	1418	1857
433	1421	1854
434	1424	1850
435	1427	1846
436	1430	1843
437	1433	1839
438	1436	1835
439	1439	1832
440	1442	1828
441	1445	1824
442	1448	1820
443	1451	1817
444	1454	1814
445	1457	1810
446	1460	1806
447	1463	1803
448	1466	1799
449	1469	1795
450	1472	1792
451	1475	1788
452	1478	1784
453	1481	1781
454	1484	1778
455	1487	1774
456	1490	1771
457	1493	1767
458	1496	1763
459	1499	1760
460	1502	1756
461	1505	1752
462	1508	1749
463	1511	1745
464	1514	1742
465	1517	1739
466	1520	1735
467	1523	1731
468	1526	1728
469	1529	1725
470	1533	1722
471	1536	1719
472	1540	1716
473	1543	1712
474	1547	1709
475	1550	1706
476	1553	1703
477	1556	1699
478	1559	1696
479	1563	1693
480	1566	1690
